Kaupunginosa,Huoneisto,Talot,m2,hinta,e/m2,Rakennusvuosi,Kerros,Hissi,Kunto,Tontti,Energialuokka,Kunta
Tapiola,"1h, kk, kph, al...",kt,"28,00",134000,4786,1964,1/5,on,huono,oma,E2013,Espoo
Matinkylä,"1 h, kk, kh, et...",kt,"31,00",135500,4371,1974,8/9,on,tyyd.,oma,D2007,Espoo
Matinkylä,1h+kk,kt,"31,00",105500,3403,1976,6/6,on,tyyd.,oma,E2018,Espoo
Perkkaa,"1h,k,kph",kt,"39,00",111441,2857,1973, ,on,tyyd.,oma,F2013,Espoo
Suurpelto,1h+avok.+kph+las.p,kt,"29,00",135000,4655,2018,4/8,on,hyvä,vuokra,B2018,Espoo
Matinkylä,"1h, k, kph, las...",kt,"35,00",155000,4429,1982,3/8,on,hyvä,oma,D2018,Espoo
Tapiola,"1h, kk, alkovi,...",kt,"33,00",189000,5727,1954,2/11,on,tyyd.,oma,G2013,Espoo
Espoonlahti,1h+kk,kt,"33,00",122000,3697,1984,2/4,ei,tyyd.,oma,F2013,Espoo
Kauklahti,"1h,k,var",kt,"24,00",105700,4404,2015,2/2,ei,hyvä,vuokra,C2013,Espoo
Karakallio,"1h, kk",kt,"27,00",95000,3519,1971,2/3,ei,tyyd.,oma,D2013,Espoo
Leppävaara,"1h, avok, s, la...",kt,"35,00",162000,4629,1985,6/6,on,hyvä,oma,D2018,Espoo
Olari,1h+kt+lasitettu...,kt,"26,50",151600,5721,2023,3/13,on,hyvä,oma,B,Espoo
Matinkylä,"1h,kk,kph,lasit...",kt,"33,50",145000,4328,1972,1/3,ei,hyvä,oma,F2018,Espoo
Tapiola,1h+kk,kt,"32,00",190000,5938,1961, ,on,hyvä,oma,E2018,Espoo
Haukilahti,1h+k+kph+las.parv.,kt,"34,50",175000,5072,1982,1/4,on,tyyd.,oma,D2018,Espoo
Kilo,"1h,kk,alkovi,kp...",kt,"33,50",115245,3440,1984,1/3,ei,huono,oma,F2013,Espoo
Leppävaara,"1h, k, kph, par...",kt,"35,50",115000,3239,1963,1/3,ei,tyyd.,oma,E,Espoo
Matinkylä,1h+kk,kt,"31,00",110000,3548,1973,6/8,on,tyyd.,oma,F2018,Espoo
Perkkaa,"1h, k, kph",kt,"39,00",122000,3128,1973,6/8,on,tyyd.,oma,F2013,Espoo
Suurpelto,1H+KT Lasitettu...,kt,"26,50",138000,5208,2018,1/5,on,hyvä,oma,B2007,Espoo
Leppävaara,1h+kk+kph+ransk...,kt,"29,00",173000,5966,2003,5/5,on,hyvä,oma,D2007,Espoo
Matinkylä,1h+kk+vh+kph (y...,kt,"32,00",145000,4531,1971,6/7,on,hyvä,oma,E2007,Espoo
Matinkylä,1h+kk+kph+las.p...,kt,"34,00",120000,3529,1979,2/3,ei,tyyd.,oma,G2013,Espoo
Kivenlahti,"1h, k,kph,p",kt,"38,00",104000,2737,1972,4/4,ei,hyvä,oma,E2018,Espoo
Nihtisilta,"1h, avok., kph,...",kt,"23,00",157169,6833,2022,6/6,on,hyvä,vuokra,B2018,Espoo
Laajalahti,"1h, k, kph, las...",kt,"34,50",106000,3072,1975,2/3,ei,tyyd.,oma,D2018,Espoo
Kivenlahti,1h+avokeitti...,kt,"37,50",104500,2787,1990,6/17,on,hyvä,oma,D2018,Espoo
Mäkkylä,1h+kk,kt,"32,00",124000,3875,1985,2/3,ei,tyyd.,oma,D2007,Espoo
